name,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
2003,1,3,0,1,0,0,1,0,36864,385024,0,5600,4194304,4,16,823296,4096,4096,1,0,0,0.7091693021887884,7.903969788556829,4,1344193048,0,0,224,271,0,0
2004,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5222028186826793,6.6443635434325525,5,1333758254,0,0,224,8450,0,0
2005,1,3,0,1,0,0,1,0,12288,397312,0,5560,4194304,4,16,823296,4096,4096,1,0,0,4.97425683454502,7.97646252498015,4,1342983738,0,0,224,271,0,0
2006,1,4,1,0,0,0,1,0,119296,24064,0,89039,4194304,6,16,176128,4096,512,0,1,0,0.06591441234324169,5.908358368982335,6,1343345215,0,0,224,290,0,678
2007,1,3,1,0,0,0,1,0,94208,237306,499712,92382,4194304,4,16,847872,4096,4096,1,0,0,0.6417950218118956,7.994130858770044,4,1331754463,0,0,224,271,0,0
2008,1,7,0,1,0,0,1,0,207360,0,0,28403,4194304,5,16,286720,4096,512,1,0,0,0.020393135236084953,7.861031306755898,4,1296673258,0,0,224,258,0,90
2009,1,4,0,1,0,0,1,0,5632,373760,0,5340,4194304,4,16,888832,4096,512,1,0,1,4.068708409936237,7.9106898344925325,4,0,0,0,224,271,0,0
2010,1,4,0,1,0,0,1,0,36864,380928,0,5616,4194304,4,16,823296,4096,4096,1,0,0,0.7072511786439412,7.904509217456918,4,1343908395,0,0,224,271,0,0
2011,1,5,0,1,0,0,1,0,28672,421888,245760,7002,4259840,4,16,987136,4096,4096,1,0,0,4.2516646054999985,7.840298197715189,4,1335469004,0,0,224,271,0,0
2012,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5220731763843454,6.643844233661688,5,1333758959,0,0,224,8450,0,0
2013,1,3,0,1,0,0,1,0,3072,111104,0,4276,4194304,4,16,126976,4096,512,1,0,1,4.294318673136172,7.787885674977917,4,0,0,0,224,271,0,0
2014,1,4,0,1,0,0,1,0,8704,414720,0,6180,4194304,4,16,778240,4096,512,1,0,0,0.0738767076406503,7.594626629097151,4,1329409810,0,0,224,271,0,0
2015,1,4,0,1,0,0,1,0,5632,367104,0,5296,4194304,4,16,888832,4096,512,1,0,1,4.052576111673163,7.921764963070067,4,0,0,0,224,271,0,0
2016,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.083555796802115,9,1335000008,0,0,224,270,0,301
2017,1,4,0,1,0,0,1,0,115200,30208,0,113744,4194304,4,16,155648,4096,512,0,0,0,4.367209516091253,6.829538214157885,4,1333994463,0,0,224,270,0,900
2018,1,3,1,0,0,0,1,0,2048,94720,0,4608,4194304,4,16,118784,4096,512,1,3,2,1.9637278966507172,7.721687583511891,7,1332835270,0,0,224,270,0,2
2019,1,1,0,0,0,0,1,0,157696,6144,0,142107,4194304,5,16,176128,4096,512,1,0,0,2.7976028784992395,7.907333449488597,4,1308002995,0,0,224,258,0,114
2020,1,13,1,1,1,0,1,0,65536,13312,0,58032,4194304,10,16,94208,4096,512,0,0,0,0.9461006681690046,6.584115571972714,5,1436499282,0,0,224,258,0,29
2021,1,4,1,1,0,0,1,0,112128,15872,0,109760,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.079929119714716,8,1334852435,0,0,224,270,0,278
2022,1,2,0,0,0,0,0,0,60928,371712,0,427582,65536,5,16,434176,512,512,1,1,0,0.26602776773102677,7.987189860047883,6,1213801658,0,0,224,258,0,77
2023,1,6,0,1,0,0,1,0,67584,0,0,36674,4194304,5,16,286720,4096,512,1,0,0,6.21147424465288,7.684052586733848,3,1297911846,0,0,224,258,0,103
2024,1,4,0,1,0,0,1,0,8704,433152,0,6188,4194304,4,16,819200,4096,512,1,0,0,0.08952421866257136,7.618926777165149,4,1305462840,0,0,224,271,0,0
2025,1,2,0,1,0,0,1,0,162304,9728,0,145675,4194304,5,16,184320,4096,512,1,0,0,3.2973032109551337,7.893257351438905,4,1306936757,0,0,224,258,0,155
2026,1,3,1,0,0,0,1,0,102912,5632,0,110208,4194304,4,16,122880,4096,512,0,0,0,1.5771066802569238,7.130750997222731,4,1335339665,0,0,224,270,0,2
2027,1,5,0,1,0,1,1,0,36864,393216,0,5776,4194304,4,16,823296,4096,4096,1,0,0,3.966053213385502,7.736491695544704,4,1344630696,0,0,224,271,0,0
2028,1,6,1,1,0,0,1,0,24576,425697,512000,7227,4259840,4,16,983040,4096,4096,1,0,0,6.2020947943363876,7.805458004700847,4,1332842084,0,0,224,271,0,0
2029,1,2,0,0,0,0,0,0,61952,372736,0,429630,65536,5,16,436224,512,512,1,1,0,0.26855817006906396,7.988610790650837,6,1207754457,0,0,224,258,0,77
2030,1,4,0,1,0,0,1,0,36864,413696,0,5584,4194304,4,16,823296,4096,4096,1,0,0,5.946564597543325,7.763384027116963,4,1344502417,0,0,224,271,0,0
2031,1,6,0,1,0,0,1,0,32768,442368,4096,6900,4259840,4,16,819200,4096,4096,1,1,1,4.245318003577398,7.4686706932887645,5,1335978445,0,0,224,271,0,0
2032,1,2,1,0,0,0,1,0,2048,257536,0,4704,4194304,4,16,282624,4096,512,1,3,2,1.9360022337135043,7.742832755684916,7,1332772509,0,0,224,270,0,2
2033,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5181634239125754,6.643807595934541,5,1333755894,0,0,224,8450,0,0
2034,1,4,1,1,0,0,1,0,112128,15872,0,109696,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.077592173810635,8,1334827450,0,0,224,270,0,278
