name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
6510,0,1,1,0,0,4.206686935448474,7.815164755356076,332,4,1335379208,0,0,224,271
3279,0,1,1,0,0,4.108738856680199,7.883071040675363,332,4,1331931721,0,0,224,271
5467,0,1,1,0,0,3.9048036214202155,7.7363584018675855,332,4,1344630696,0,0,224,271
5326,0,1,0,0,0,2.6038470486876926,6.643716243363036,332,5,1333985584,0,0,224,8450
6803,0,1,0,0,0,2.6024222637913783,6.64316075947628,332,5,1333755659,0,0,224,8450
7009,0,1,0,4,2,0.2044881574398449,6.689752237471662,332,8,708992537,0,0,224,33166
4182,0,1,0,0,0,2.6063360413071415,6.643661752884318,332,5,1333985852,0,0,224,8450
3254,0,1,0,2,0,0.16032872589902852,6.573560477987227,332,6,1334587814,0,0,224,270
360,0,1,1,0,0,6.648813016079056,7.693628039982352,332,4,1333436105,0,0,224,271
2563,0,1,1,0,0,3.816399394457816,7.769359088218244,332,4,1332535995,0,0,224,271
5822,0,1,1,0,0,2.2253669375082663,7.869489036496491,332,4,1331376535,0,0,224,271
2968,0,1,0,5,0,0.16032872589902852,7.083575841903346,332,9,1334973670,0,0,224,270
4184,0,1,1,0,1,4.030640806197861,7.92107857908983,332,4,1326871294,0,0,224,271
2794,0,1,1,0,0,6.584903043868552,7.872689485525546,332,4,1333570409,0,0,224,271
4373,0,1,1,0,0,4.206686935448474,7.880018003055612,332,4,1335379208,0,0,224,271
6844,0,1,1,0,0,4.108738856680199,7.881206908154157,332,4,1331931721,0,0,224,271
5415,0,1,0,0,0,4.364705415416363,6.979344102690289,332,4,1334352025,0,0,224,270
5943,0,1,1,0,0,3.646835505920968,7.897051182885133,332,4,1334989131,0,0,224,271
3952,0,1,0,2,0,1.309136702784461,6.588704396637829,332,6,1339791514,0,0,224,258
